id,name,description,price,category,image_url,brand_id,merchant_id,created_at,updated_at,active
1,Apple iPhone 14,Latest Apple iPhone with A16 Bionic chip,999.99,ELECTRONICS,http://example.com/iphone14.jpg,1,8,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
2,Samsung Galaxy S23,Newest Galaxy smartphone with Snapdragon 8 Gen 1,849.99,ELECTRONICS,http://example.com/galaxys23.jpg,2,5,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
3,MacBook Pro 16,16-inch MacBook Pro with M1 Max chip,2499.99,ELECTRONICS,http://example.com/macbookpro16.jpg,1,5,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
4,Dell XPS 13,High-performance laptop with 11th Gen Intel Core,1299.99,ELECTRONICS,http://example.com/dellxps13.jpg,3,31,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
5,Sony WH-1000XM5,Noise-canceling over-ear headphones,349.99,ELECTRONICS,http://example.com/wh1000xm5.jpg,4,1,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
6,Bose SoundLink Revolve,Portable Bluetooth speaker with 360-degree sound,199.99,ELECTRONICS,http://example.com/soundlinkrevolve.jpg,5,3,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
7,Canon EOS R5,Professional mirrorless camera with 45MP sensor,3899.99,ELECTRONICS,http://example.com/eosr5.jpg,8,48,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
8,Nike Air Max 270,Comfortable and stylish running shoes,149.99,CLOTHING,http://example.com/airmax270.jpg,6,25,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
9,Adidas Ultraboost,High-performance running shoes with Boost cushioning,179.99,CLOTHING,http://example.com/ultraboost.jpg,7,21,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
10,Levi's 501 Original,Classic straight fit jeans,59.99,CLOTHING,http://example.com/levis501.jpg,9,34,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
11,North Face Jacket,Waterproof and windproof jacket,199.99,CLOTHING,http://example.com/northfacejacket.jpg,10,5,2024-09-01 08:30:00.000,2024-09-05 12:30:00.000,True
